epoch,train_loss,train_acc,val_loss,val_acc
1,1.1006026043501729,57.95663817846206,1.596804518835768,44.36118843954041
2,0.9394568963378644,64.83749986662826,2.0058829208222115,44.701928430429724
3,0.8838119034711288,67.18783009506738,2.3322414239675835,45.282988307941494
4,0.8457475058764545,68.80552265719194,2.469077960464457,43.508022473047525
5,0.7961386373872793,70.82621128218261,2.5208206196715652,47.04560408968973
6,0.7724066946318331,71.76493496793744,2.553897527740494,47.44364022877967
7,0.753601647440504,72.57194071892705,3.16742890193235,43.148251252720556
8,0.7257591927162075,73.71856427984594,3.417797015539511,42.43802196689781
9,0.7161533441899007,74.10742293780609,3.4760531950931997,43.98987700561826
10,0.7070245931506145,74.49958921502726,3.2911198134485624,43.6039884597864
11,0.6903903878408117,75.16356710732691,3.5445222467533273,44.217846839095
12,0.6838359027642118,75.44807571247186,3.64104103087992,43.88095358607076
13,0.6781212438021974,75.69785431537616,3.6771095674812604,43.74469808169256
14,0.6679171996162784,76.12795151670348,3.7629887251252008,44.46120362403199
15,0.6652754461759057,76.25524150955475,3.7975882460496435,43.8258844966341
