epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp
1,1.3593485765312558,51.59545740946323,1.6072424461807957,37.37353411797484,5.9e-05,2.5e-05
2,1.1443221964081618,61.057337453868996,1.8262360105328688,36.132915666193924,2.7e-05,1.3e-05
3,1.0804679223377012,63.45514916939202,2.1083972574343757,34.641735627535844,1.5e-05,1.3e-05
4,1.037807769187231,64.99619950593576,1.9374949453467323,38.093874494765295,1.2e-05,4.4e-05
5,0.9759467542504712,67.10502365307491,2.4995375924324463,33.15539268514953,3e-06,3e-06
6,0.9537901227391972,67.81951653714982,2.287439936036032,35.13976305967623,2e-06,2e-06
7,0.9358431185519974,68.2702251292668,2.462455519822909,33.49689168193577,3e-06,2e-06
8,0.8988890278613245,69.42812565633533,2.5155624438079336,35.76297454332974,1e-06,1e-06
9,0.8874926051656953,69.78212167581785,2.784029435446565,34.23909573387457,1e-06,1e-06
10,0.8774861498526038,69.99679958394591,2.5667988854309867,36.55413000953875,1e-06,1e-06
11,0.8556921328348202,70.65843559662757,2.8323125935955193,34.18782251339392,1e-06,1e-06
12,0.8490298068611514,70.80640483262825,2.6738458868702706,36.41811086237687,1e-06,1e-06
13,0.8430357229944856,71.00468060847909,3.1253514817992487,32.875808520641826,1e-06,1e-06
14,0.8312377847514199,71.30977027013512,3.0536850901990014,33.86625235324733,2e-06,2e-06
15,0.8277486649201429,71.4146339024073,3.0079680578576378,34.44592997045501,2e-06,1e-06
