epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,9.03483982954901,31.65526518447398,2.1856603525000433,44.76713251128495,3.9e-05,3.3e-05,613.690417,10.171028
2,3.895837308369818,39.38827047516177,2.3286586540446748,39.64871072035972,4e-05,2e-05,167.569019,15.031136
3,1.8291049735219223,47.431466090591776,1.791985444754357,46.721512888926725,2.6e-05,5.2e-05,8.585832,8.423454
4,2.629526259795247,45.323942112474626,1.6780556235500665,47.30370579619572,2.8e-05,3.8e-05,76.902074,6.442187
5,1.894089709944506,49.92063968315881,1.6418589336755036,46.60774438461494,3.9e-05,4.9e-05,30.260033,6.419155
6,1.392915821309597,54.82947783211818,1.5468980174974898,48.40637026230606,5.1e-05,5e-05,5.5981,5.14846
7,1.2822348454950767,57.30299938992069,1.4623232668004809,49.17024450554234,4.4e-05,5e-05,5.065333,4.651598
8,1.217328917250896,58.955464210347344,1.5168253338063138,47.890735799736476,4.6e-05,5.7e-05,4.670779,4.651994
9,1.179708650982803,59.9626451438687,1.5619756160991343,45.87482755751791,5.2e-05,6e-05,4.451815,5.488405
10,1.153153442727725,60.6810885415104,1.541451431932106,47.678677499182534,5.2e-05,4.9e-05,4.321,4.49068
11,1.1014769825298274,61.88499504935642,1.6511092741377604,44.61563465605343,5.3e-05,5.4e-05,3.453507,3.954187
12,1.0887608404758626,62.23834098432797,1.5506779703237459,49.682783226498,5.2e-05,5e-05,3.457472,4.074925
13,1.0799378628236562,62.52732855271185,1.6290083373897561,46.98387699070697,5.1e-05,5.5e-05,3.422489,4.095987
14,1.0532997879266217,63.175262784161944,1.6204801293717856,46.861595196956884,5.1e-05,5.4e-05,3.034617,3.732099
15,1.0473461625840388,63.320581675617824,1.6367009609881649,46.573497743010876,5.1e-05,5.4e-05,3.025932,3.702589
