epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_energy,val_loss_energy,tr_loss_mono,val_loss_mono
1,9.059028981141072,30.908568113854802,2.0905891508501457,43.73799190850536,613.079449,4.528407,0.0,0.0
2,7.63655362570057,35.99947993239121,2.333910655115268,35.234763630453585,523.629703,2.435268,0.0,0.0
3,1.8925964199794558,45.95477412063568,1.7174610796880778,46.78942572058224,5.82742,4.286041,0.0,0.0
4,2.0680194029941625,46.8390890815806,1.6438850918705903,47.6945431749539,30.962846,1.978665,0.0,0.0
5,1.4650726490412667,53.04179543340635,1.5511622555868132,48.327815818852685,4.979154,3.062083,0.0,0.0
6,1.3003819374356325,56.099592947083124,1.4322292117512925,50.7831258863979,2.106731,2.096426,0.050515,0.001915
7,1.2226409972630263,58.1200056007281,1.471648045586392,49.359278227842715,2.216717,2.921426,0.050186,0.003033
8,1.1765293472981868,59.38426995509416,1.458673509231803,50.3054142585989,2.113626,2.474049,0.048384,0.002856
9,1.1458757826159498,60.28913758788642,1.5867702656108307,45.075739253423215,2.027932,2.777538,0.046766,0.002072
10,1.0943444549832912,61.51719723564063,1.5420607245455762,47.520988160723164,1.315862,1.170418,0.036923,0.000636
11,1.0802080805128766,61.946253012891674,1.6332420544351247,45.46618966447966,1.320351,1.404378,0.037453,0.000665
12,1.0696611151710083,62.2517927330553,1.5262254611705683,48.370188782193296,1.315263,2.080827,0.03643,0.002551
13,1.0438665274049466,62.88412493624171,1.5208211183758182,49.05415419502011,0.981455,1.201597,0.031797,0.000635
14,1.0375217997561752,63.08580115415003,1.614885171397907,45.86960349354441,0.990917,1.051329,0.03191,0.000625
15,1.0324883482857208,63.233820396651566,1.621780674484404,46.32816022010723,0.993258,1.284608,0.031468,0.000497
