epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,10.71654711621252,29.060477862122074,2.8986912703785297,22.813874339978213,2.4e-05,1.1e-05,769.971043,3.282374
2,2.2116097571362503,40.696890595777454,1.8297515530106088,47.225925288145824,7e-06,7e-06,3.468592,3.2689
3,2.5029259218396516,42.55363197215638,1.7852215225793076,44.69612393801551,9e-06,6e-06,48.325681,2.481973
4,1.848977188973558,48.9743666676668,1.673809841371829,47.740979299162795,1e-05,4e-06,20.630737,3.207495
5,1.4322841408660776,53.39989198595817,1.6218763733973907,47.906988443209585,5e-06,7e-06,2.682408,3.792825
6,1.306214034951142,56.23005990778801,1.4890464628759983,50.74094640690815,9e-06,9e-06,2.296812,2.260919
7,1.236524948838728,57.90892816066089,1.4522851190017516,50.575904682115706,1e-05,1.2e-05,2.142609,2.013072
8,1.1910675069549392,59.06997909728264,1.4936784044185736,47.646559179938045,1.2e-05,1e-05,2.037762,1.633204
9,1.1606476904357854,59.85078060147819,1.5473598033503884,46.40439285735016,1.2e-05,9e-06,1.971643,1.906158
10,1.1360320721040582,60.526818486403236,1.5035866734802554,48.97559975156673,1.3e-05,1e-05,1.905458,1.920796
11,1.086902425671794,61.716173102503326,1.599468291806985,45.63935771100865,1.5e-05,1.3e-05,1.230985,1.30432
12,1.074216649277344,62.14012821666817,1.4841036823172025,50.265169617617865,1.6e-05,1.1e-05,1.246551,1.639741
13,1.0649897286978423,62.418064348365284,1.5957219996445877,47.00883640746925,1.6e-05,1.3e-05,1.243413,1.539742
14,1.0389660975770143,63.083000790102716,1.5568657194424596,46.390075052385754,1.7e-05,1.4e-05,0.955614,1.113089
15,1.033445978952987,63.26072389410623,1.5900929858995254,46.18885184748055,1.7e-05,1.4e-05,0.955786,1.085245
