epoch,train_loss,train_acc,val_loss,val_acc
1,1.418646951913109,48.72328120813702,3.0342286920423023,29.218158339623585
2,1.212789871636741,58.76908951898007,2.8337334000977514,34.050941665990855
3,1.147773912774675,61.37921570421293,3.380382758483392,33.83884068096893
4,1.1104104101464287,63.09457684491176,3.8707116554124323,24.89753650944161
5,1.085743540129277,64.13490253481366,4.3877382293851,27.041004111016147
6,1.0391644922435552,66.00186892680472,5.176487754962929,25.90127322973656
7,1.024107991375027,66.43691718563149,5.86916190547899,26.009195201527124
8,1.0130482102941714,66.96361473968986,5.596875247766076,28.559397633202536
9,0.986513057869594,67.81149324637813,6.811156217075085,23.7858778173561
10,0.9759300775669545,68.19295689052402,6.495244597439911,26.115869520464624
11,0.968709810018541,68.51266753360474,6.90278802422543,25.05474076892845
12,0.9482914503562241,69.43095753092551,6.617046129375494,23.694799159081978
13,0.9391108322143087,69.79134673819995,7.7467497930291085,24.349193080517274
14,0.9311434040433901,70.1775480464487,7.345523371189207,23.423434663539215
15,0.9163965412527466,70.66307693313033,7.219979419721176,24.136468269068814
