epoch,train_loss,train_acc,val_loss,val_acc
1,1.4385810214031247,49.9167391760929,2.295657059971494,29.947817405420256
2,1.2473221689706178,58.11090441757428,2.3382437747797566,34.981106301962505
3,1.1854238011970133,60.66218608419095,2.149526681526388,38.09426146246703
4,1.1483711897837456,62.036064688409496,2.2856969186393434,36.888470103842785
5,1.1213075218093667,63.05529718863452,2.3638045721498404,40.08172757860765
6,1.0940017832396527,63.96586556252313,2.4162625450233683,39.45735519184891
7,1.0448088388297443,65.77005010651385,3.0461244774117042,35.752913383084476
8,1.0303941378357429,66.2839169091982,3.226684515150001,35.31641381552089
9,1.0178614826825796,66.63296228509707,3.1640734353633126,36.958511257857865
10,0.9897852153981808,67.5840359246702,3.377906388310338,35.71634493526998
11,0.9813791816568442,67.87157330452959,3.471710722606875,35.61050926884388
12,0.9734281275119928,68.08755138167962,3.8464556065167157,35.1869731192886
13,0.956420661300945,68.57491473891606,3.632703132307535,35.86629491969453
14,0.951596168168876,68.75568823947114,3.4144893655158315,36.6831837380693
15,0.9466110183951895,68.91160850910619,3.6312223347122696,36.19076733760417
