epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,1.2978010290552242,60.10136252574074,1.4358722630844138,55.38411702181505,0.26959,0.263357,1481447.239768,1370457.296013
2,1.0289752260230334,68.55387684986609,1.7622968355813007,49.47674242040795,0.259259,0.261676,1746917.545761,1292239.987796
3,0.9619362186948269,71.00252872827375,1.696286783958366,54.47284506757099,0.257863,0.261329,1383740.387871,1424763.877712
4,0.9233104500113692,72.46801745569391,1.9392043711732816,49.80169054006175,0.257317,0.260042,1172238.051524,969121.917117
5,0.8734441488933867,74.26533508317063,1.8353865043481135,53.384825631421776,0.256022,0.258957,1250953.516557,1180940.471197
6,0.8574698122370664,74.91464208358674,1.9191094824000337,53.54881814040593,0.255865,0.258777,1318217.022181,1459942.742378
7,0.8447007264846019,75.4229484758277,1.9564758166628713,53.05056435693678,0.255797,0.258746,1325809.380961,1456015.215925
8,0.819166924614796,76.37458254644004,1.9941024123436708,53.4350356835552,0.255339,0.258341,1377740.828176,1332667.904266
9,0.8112454732809861,76.70539782123919,2.0493687302196064,51.04175735182467,0.25525,0.258386,1470489.152706,1533717.342605
10,0.8046072871154658,76.96115147829241,2.0614038108108,52.20529432606165,0.255147,0.258125,1473466.480246,1666418.902185
11,0.7904111702562774,77.49954653606905,2.041269818996378,52.731690033912024,0.254883,0.257892,1589085.81124,1568714.068049
12,0.786297821853596,77.639266775498,2.0619932829723697,52.04049197752695,0.254847,0.257881,1601134.267661,1797696.368937
13,0.7821843576664292,77.8426320113526,2.119590775443516,51.22032697271853,0.254821,0.257907,1663872.861768,1645502.493743
14,0.7742119811372171,78.13460943418372,2.128141689168277,51.25312547451536,0.254707,0.257745,1708923.427308,1712347.452656
15,0.7721240070999396,78.22652924042124,2.1188723097490976,52.075315078200134,0.254688,0.257751,1737014.13558,1696619.747401
