epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_energy,val_loss_energy,tr_loss_mono,val_loss_mono
1,70.20661230332931,19.37981937651895,3.395851450230535,14.39926166562508,668.119737,2.666191,0.0,0.0
2,2.7506374303944088,33.775790852810864,2.2528940542012585,36.503243756759844,2.332424,1.584816,0.0,0.0
3,14.790852833645932,30.439207096922598,2.4517609390013444,37.198237749086275,121.020681,1.879142,0.0,0.0
4,3.134983096886305,45.70194125236281,5.411581452058243,13.388115060976435,12.401011,13.632262,0.0,0.0
5,2.0917264950369967,44.5776450938622,1.8158596232043467,48.40501587534997,1.81486,1.687611,0.0,0.0
6,2.7924874171108387,47.13312730654985,1.711825846703562,49.446539444585255,10.254282,1.438942,0.050824,0.001586
7,1.5070272506187676,54.04422574934742,1.552853231193969,51.242843516065925,1.218614,1.175065,0.040115,0.000924
8,1.3878861391270245,56.36487743406643,1.510081485303496,52.47107900139115,1.067613,1.181331,0.037154,0.001495
9,1.3265564897191136,57.70905217678298,1.5151777917794222,50.29593354990626,0.989426,1.038662,0.034776,0.001253
10,1.2865826405737495,58.64587396361527,1.54406041604355,49.373209065105385,0.947436,1.072162,0.033565,0.001096
11,1.2564172635367001,59.34106433836399,1.5924303259987171,47.87719193017555,0.90864,1.09632,0.032703,0.001069
12,1.1983641627385997,60.540120215628036,1.4672235516369339,52.13248226236797,0.77939,0.882162,0.030165,0.001104
13,1.185403302604147,60.9382719753568,1.5179017293732353,50.86883923233347,0.776555,0.902971,0.02982,0.000889
14,1.1747472146728979,61.189904687609385,1.524568367368915,50.00977093446895,0.768717,0.974847,0.029161,0.000705
15,1.1664883228590508,61.398581815636035,1.5142097964003869,50.4491727597956,0.765055,0.936155,0.029105,0.001079
