epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,1.8086101619507724,50.02065268484903,1.4990207337609225,46.692103343594425,0.000451,0.000224,33687318.094949,35266794.724854
2,1.1917197352332611,58.2324202146279,1.5086427816488412,47.671518596700324,4.8e-05,2.9e-05,18572421.96783,13526846.008664
3,1.1097435376834108,60.542220488663524,1.4403309238776445,49.49703872966243,5.5e-05,4e-05,9090737.195606,7348606.327306
4,1.0645008316206905,61.95100363047196,1.531509710882885,46.44502446603294,2.9e-05,8e-06,6063050.703025,5878135.25525
5,1.0339320151096036,62.87207336953804,1.4973792414063307,49.781266506591024,1.9e-05,1.3e-05,4907257.380928,5002224.423244
6,1.011829883893684,63.56096292518028,1.6136810291351438,45.09992473478201,2.5e-05,2.1e-05,4061791.200545,4549690.831782
7,0.9611202565182999,65.1319171492294,1.6086710581394617,48.0584862984411,7e-06,8e-06,4115093.294925,4845012.081009
8,0.9477966631055075,65.52571834338464,1.6231225270416776,45.595630360711944,5e-06,7e-06,4062306.469552,4799662.792109
9,0.9395309262395779,65.81305569724064,1.6758564715711006,46.03154947672293,6e-06,6e-06,3900843.715153,4497456.847911
10,0.9119083382287709,66.6157100423055,1.6515274930105557,46.2832719667053,3e-06,2e-06,4168746.435015,4990324.821531
11,0.9059352477662201,66.79078280176422,1.6799204735216369,44.981319134198465,2e-06,2e-06,4314860.091425,5051381.366583
12,0.9006440319444058,66.98180763499255,1.6863175217129713,48.53832624859966,2e-06,2e-06,4281617.860613,4949886.409764
13,0.8860570061218382,67.42191484893037,1.6907127108559838,47.01909105156538,2e-06,2e-06,4557033.335909,5709310.440329
14,0.8824984492399295,67.51372678448199,1.712178229076419,46.09888185682582,1e-06,1e-06,4715680.862815,5609283.245321
15,0.879304453582357,67.62514126836489,1.6991874549298114,45.75718937618872,1e-06,1e-06,4853551.047633,5792681.602262
