epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,1.2939233140957238,60.273358727313465,1.5582776993863368,52.65151591840866,0.26976,0.264771,1226108.689978,873273.559493
2,1.0276426937962884,68.56790755737653,1.7415333157369601,51.54507263248469,0.259433,0.261956,858789.136689,482756.074424
3,0.9619154886362826,71.01399869829177,1.7241181136118882,53.2323733360328,0.25797,0.26068,574887.485238,437701.857595
4,0.9234965009649545,72.4347812169905,1.8266593781329483,50.854684415650155,0.257351,0.260378,444064.089148,341434.789136
5,0.8748449844619195,74.24522262411574,1.8185343425684313,52.99225590929797,0.25628,0.25907,406406.66035,372440.787774
6,0.8593878038436552,74.83952711714306,1.867971002957946,52.655970035936626,0.255992,0.2589,397999.160858,375702.053494
7,0.8466345850850996,75.31977209436317,1.967720835121403,51.76939818798401,0.255841,0.25882,401432.294365,374245.461617
8,0.8219318766434077,76.30896364819735,2.0230282632832877,51.26122387002076,0.255379,0.258354,399699.392107,407068.682443
9,0.8138977512024521,76.6163588446806,2.019629661852383,51.80037455079213,0.255279,0.258227,424245.46076,434886.881404
10,0.8077649274553673,76.85183999658568,2.0305051920808217,52.210760743027784,0.255193,0.258157,423252.53565,429937.853961
11,0.7929957370434579,77.44715811487042,2.0750717162622543,51.83074353393734,0.254931,0.257942,441692.507659,472582.578054
12,0.7890257300566186,77.59450721807882,2.101872146100284,51.90160449460951,0.25489,0.257919,447917.432336,455369.788687
13,0.7854114995955118,77.73550782625395,2.1397832903278173,51.47097231361036,0.254869,0.257892,465669.862108,478856.16638
14,0.7772915096938665,78.04669078027806,2.1454928920150387,51.585159690236374,0.254742,0.257779,468843.727968,461310.292509
15,0.7753873342553091,78.11209628372971,2.127178902445266,52.32596041909196,0.254722,0.257769,472107.371081,471785.728484
