epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,3.051229562917921,40.99342914578895,1.797593665103829,47.982447145049036,1.5e-05,8e-06,622.600262,6.147709
2,2.7951348397491116,43.38308980167422,1.919850055322551,41.989865315891414,1.8e-05,4e-06,811.570472,6.999048
3,1.5210128134814722,51.13839799173893,1.5469601953567902,47.65584640477982,8e-06,7e-06,12.280894,4.791662
4,1.5271575009810803,53.077100023002984,1.48248607253276,48.190829252436444,1.1e-05,8e-06,106.446673,11.786215
5,1.2495948630540903,56.91464890435757,1.5223585611152226,48.61707417590391,1e-05,7e-06,7.9669,21.237413
6,1.1844952769854478,58.70673187514377,1.3640366847290726,51.46244768680383,8e-06,5e-06,7.96939,5.387411
7,1.1425685624432385,59.92964085331093,1.4137419958496584,50.882189618043526,7e-06,8e-06,7.593303,9.758872
8,1.1114741307137026,60.91386880294438,1.466791985962252,49.40203815888507,8e-06,7e-06,7.873778,5.654432
9,1.0900052843380297,61.54615099962996,1.6510302577171432,44.13637515744748,9e-06,6e-06,7.665685,4.019651
10,1.044829429936993,62.7533079300309,1.5596444089469346,47.88357689725427,1.3e-05,1.2e-05,3.713175,4.81504
11,1.0332109719838245,63.124556192305,1.6160894744785885,45.57028397624792,1.2e-05,1.1e-05,3.750011,4.4013
12,1.0250479586229075,63.374638703031394,1.4777515503045682,51.475024137110395,1.2e-05,9e-06,3.814153,7.325025
13,1.0019387163807305,64.03087401362177,1.5074834133716801,49.473627183707116,1.4e-05,1.1e-05,2.088525,2.405726
14,0.9964758249716796,64.17884324962245,1.601254219248596,46.23799674560163,1.4e-05,1.5e-05,2.092672,1.727217
15,0.9919742360445971,64.30165921569804,1.6178693220915432,45.658899579946564,1.4e-05,1.2e-05,2.118157,3.034905
