epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,1.8057352188276445,50.07190934821527,1.4688586205768621,47.577291961326445,0.267483,0.170548,29185647.761714,28001385.907331
2,1.1867340104157655,58.413093702181285,1.4086846704414513,50.09006673258016,0.049466,0.00647,14416328.426464,10309339.288809
3,1.100647475463667,60.89046576054887,1.3998755580078175,51.315012992440586,0.017307,0.001652,6959602.218137,5604656.700801
4,1.0565745609390598,62.202436316721176,1.4496777764184035,47.26926567074079,0.003264,0.000561,4619645.105319,5354984.519523
5,1.0261059892046793,63.19026473441547,1.454663863439718,48.43423193683139,0.001301,0.001104,3567325.078885,4087382.374654
6,1.0048103142113967,63.78409193195116,1.514893085445931,46.37730511822831,0.001301,0.001209,3049685.867539,3079670.355162
7,0.9541824485129997,65.35734645503915,1.5136412961203811,47.984381983557746,0.00031,0.000168,2906068.440305,3341698.717897
8,0.9418799200430156,65.72229389820676,1.545348477187251,47.335050180036724,0.000336,0.00032,2691317.024645,3160786.943461
9,0.9324977018535885,66.01418184363968,1.5780954411891792,47.05682040248511,0.000321,0.000428,2573731.223729,2796324.169419
10,0.9057336034817415,66.82228689729665,1.61193658744104,46.367630925684786,0.000183,0.000207,2666497.154256,3127374.969436
11,0.8993885887432556,66.98505805754749,1.6625979377473126,45.04226654722264,0.000223,0.000261,2696479.567338,3164328.896188
12,0.8942420710402534,67.17258243571665,1.62353210239729,47.822242516528355,0.000229,0.000187,2716930.830228,3044907.175857
13,0.8796243912754934,67.63449248402293,1.6235184499618123,47.573035316607296,0.000154,0.000115,2764832.500308,3333331.919383
14,0.8757212800434375,67.7216038084951,1.6757314455271235,46.791554042941804,0.000134,0.000139,2812162.583318,3320960.979076
15,0.8727807198117613,67.83041795433407,1.6676842636749605,46.26740629093393,0.000157,0.000149,2863028.303239,3480984.761266
