epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,2.4142929421801327,40.93888373184811,1.4888412296107685,50.20235865769095,0.289213,0.272645,43.140307,0.923528
2,1.2349585300861854,61.9073226422543,1.560120560727682,51.19522194665181,0.262662,0.261947,1.480979,1.797735
3,1.0971333487652284,66.38994697139444,1.6788884142786227,51.974287594270386,0.257752,0.261446,0.953505,2.637896
4,1.018966456488359,69.19422126905881,1.7176575146063189,54.68117629194715,0.256857,0.259923,0.733434,0.892371
5,0.9407188876457719,71.96856694728082,1.8365255330864787,53.757756744445004,0.255285,0.258172,0.5021,0.88657
6,0.912157122978026,73.06525612709794,1.8913035217772105,53.229943817381184,0.255072,0.258367,0.484015,0.913722
7,0.8890472567742983,73.95452557003084,1.793313372941154,55.3942400161968,0.254954,0.258047,0.459371,0.85116
8,0.8487906758871205,75.4682415202245,1.8763630742730355,55.81393936326366,0.254328,0.257413,0.364756,0.877737
9,0.835409442791808,75.98769779029693,1.9111846321220551,55.62585412765097,0.254269,0.257342,0.359554,0.799064
10,0.82400368292203,76.43209244262349,1.841983585981317,57.59923065242699,0.254232,0.257194,0.349722,0.710086
11,0.800985276024815,77.34638242480501,2.0112474607336455,55.48311990686845,0.254331,0.257434,0.302124,0.751638
12,0.7934768362056379,77.64300118434109,2.0606023562682774,55.788024497646404,0.254309,0.257433,0.297933,0.819428
13,0.7869760166812289,77.89806130832346,2.133823504503689,52.773801690540054,0.254302,0.257373,0.292961,0.794344
14,0.7732836958666869,78.4441385785773,2.0905557948068223,54.47405982689679,0.254147,0.257222,0.272326,0.76078
15,0.7696766953316556,78.57921748130127,2.048652270589756,56.05304449056031,0.254138,0.257217,0.269636,0.74407
