epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,9.07557507019627,30.786602258293577,2.122750460827375,43.98236201215466,1.9e-05,4e-06,614.026197,2.931255
2,6.111296247949299,45.00960124816226,3.4457283312355487,12.903438014546115,3.9e-05,4.6e-05,421.809865,4.670396
3,2.36904218967061,38.534309460229835,1.8948225376801298,44.59938201258032,1.2e-05,1.4e-05,10.571495,1.844698
4,4.14131526113831,42.24734215448008,1.8532049689624486,45.257420589390506,1.5e-05,1.1e-05,212.197874,2.689877
5,2.4344801586405636,47.766209607248946,1.7742504970426307,44.96854920004102,1.3e-05,1.2e-05,71.972215,3.47373
6,1.877522870970348,50.455259183693876,1.5796956403969895,49.65027793955177,1.5e-05,1.4e-05,32.302927,1.855611
7,1.3726628958768194,54.48658325582326,1.5029965320955636,48.800883834230774,1.5e-05,1.5e-05,2.722022,1.476214
8,1.4033350147887618,56.155050156520346,1.463040859192852,49.87529965811404,1.3e-05,1.1e-05,12.09217,2.905425
9,1.2206827778784128,57.91267864822427,1.4990105928845987,45.937516325199915,1.9e-05,2e-05,1.50878,1.614267
10,1.1788623424146107,59.047476171902346,1.5048796188282556,46.647795541745104,2.5e-05,2.3e-05,1.500348,1.440123
11,1.1471325882710115,59.96424535189575,1.5206088189912825,48.09563519780822,2.7e-05,2.2e-05,1.522059,1.310095
12,1.090301711626276,61.37842919579546,1.4430122589055625,50.322634321326376,2.9e-05,2.6e-05,0.967753,1.187661
13,1.0768213767845705,61.88094452278796,1.5587448244441533,47.00051660188183,2.8e-05,2.5e-05,1.079753,1.084975
14,1.0648555381108713,62.223189014571886,1.5510697821248478,45.58305391040537,3e-05,2.7e-05,1.004458,1.4034
15,1.0571658416369847,62.51877744106734,1.56032296638411,46.42180640392849,2.8e-05,2.7e-05,1.154442,1.097083
