epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp
1,1.3836872193621208,49.896588228375016,2.134620063415902,32.1276847929832,0.000234,7.1e-05
2,1.0985130056052264,63.024818825189996,2.5906111709229043,24.30614905708636,4.7e-05,3.8e-05
3,1.0267009016824498,65.99321043723738,2.7971255027427055,25.44400845908634,4.7e-05,7.5e-05
4,0.9809557169206286,67.85919662286233,3.5243679614780423,21.73598417976182,2.8e-05,2.5e-05
5,0.9212264198895332,70.04522018702338,3.626317192571569,24.696040573670782,1.2e-05,1.4e-05
6,0.9006204868333764,70.72417646328473,3.356918673102708,27.12334919931878,1.1e-05,1.5e-05
7,0.8812906375454682,71.32520633344008,4.077466107142986,22.80023206343067,1.5e-05,1.3e-05
8,0.8446752745511489,72.56484065111842,5.4661334110671245,21.10841479466753,9e-06,1e-05
9,0.8310004646246565,72.9850224467258,4.821552863690735,22.309280665747565,7e-06,8e-06
10,0.818514809741263,73.32597089440563,4.400238444120295,23.728485786114874,9e-06,8e-06
11,0.7950465501046906,74.02289762071241,4.976050128714473,22.865733838216855,7e-06,7e-06
12,0.7858470388176072,74.32039025282789,5.203003177841877,22.866357664643388,7e-06,7e-06
13,0.7781221462066199,74.58275882349096,5.20005973902761,22.785884055620365,6e-06,7e-06
14,0.7625074272372199,75.04149540283215,5.3548610448454665,23.50577975184185,7e-06,7e-06
15,0.756818369692614,75.18770951911075,5.306469992947568,23.125869458081983,6e-06,7e-06
