epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp
1,1.9641558224413274,48.40729294808325,1.518816137982459,50.7831258863979,3.1e-05,1e-05
2,1.2479783330924206,57.00436056687369,1.4053061569244998,50.13398756672775,6e-06,7e-06
3,1.15861703651099,59.328212667646795,1.41892867286606,50.145790081630835,5e-06,1e-06
4,1.1123080027748788,60.72384409973296,1.4236015156300525,51.206662035953165,6e-06,1e-06
5,1.080399831689986,61.69487033314331,1.4701719416316057,47.483065325952566,1.6e-05,4e-06
6,1.029148112102178,63.13740786302219,1.5416555477491052,46.90570951495533,2e-06,1e-06
7,1.0157251920208104,63.55461209957295,1.4939931934493427,48.91929595096345,2e-06,0.0
8,1.0056086109277016,63.863952313800795,1.5271081061705878,46.88268493670176,4e-06,3e-06
9,0.9807680921160313,64.54979147289147,1.5856962242798442,46.91209448203406,0.0,1e-06
10,0.9749015739693093,64.71151249662455,1.5912463992612436,46.81922223361627,0.0,0.0
11,0.9706429575710622,64.87638392991089,1.6190677618152916,46.444830982182076,1e-06,0.0
12,0.9564481062892294,65.24823227019513,1.5804928221747787,48.23300873192619,0.0,0.0
13,0.9541740308996641,65.35324592196986,1.5746814363255532,47.973546887909,0.0,0.0
14,0.9518093421502191,65.43435646634063,1.6033670840092693,47.07868407763346,0.0,0.0
15,0.9437102785221305,65.65653534959544,1.6344929907558539,45.83051975566859,0.0,0.0
