epoch,train_loss,train_acc,val_loss,val_acc
1,0.5251029938852206,74.2307013703285,0.5983868738970324,75.05754798784785
2,0.4139762424250822,80.70627136033039,0.7303014647908482,73.70821142725248
3,0.37977804482473565,82.8949088081344,0.557633589355567,77.48173748136318
4,0.36667708287601253,83.9399721621392,0.659155079111691,76.27400951959127
5,0.35020422907880094,84.75632069738415,0.8789587453553033,75.175451182463
6,0.34153455254111265,85.29233021192061,0.8691362548484962,75.74063792490378
7,0.31739741407646843,86.41564670748681,0.8370234523386753,76.71068801816583
8,0.30996752798443156,86.76737742519391,0.9234841015304254,75.17669883531606
9,0.3018238500591916,87.15635598481335,0.987255787229272,73.05444133224371
10,0.2862912086670288,87.90817426762247,1.0713330278960091,74.59030199437309
11,0.27976348837943044,88.19570146834914,1.0664203945172952,75.50358388282045
12,0.2749688838937927,88.43389161531474,1.0372462052765052,75.7855534276143
13,0.265316481823316,88.88772716282534,1.0313425384117425,76.14051066431277
14,0.2619012925661367,89.05142162596633,1.1217363134474796,75.43059619091585
15,0.2588109203401938,89.18031876311025,1.1197393918281155,75.28711611281277
