epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,9.154994578842082,30.35574624701211,2.2262085886783405,42.87486044977256,1.9e-05,3e-06,619.679473,2.406258
2,5.292761236232553,39.731265064458384,2.62938108618971,33.2300774515855,1.7e-05,1.2e-05,313.226729,2.740578
3,2.0496062731270013,43.52200786102193,1.763208747805712,47.04056775901199,6e-06,5e-06,4.684214,3.070994
4,2.9313182062576084,45.29028773740586,1.7812014909905753,46.34228454122077,9e-06,8e-06,108.005292,2.829429
5,1.4909088785470677,51.85264084330963,1.6406215913422728,46.43476982193681,1.4e-05,1.3e-05,2.221131,1.997997
6,1.939099067767125,50.3783491853941,1.5470104855730047,47.89402502520127,1.2e-05,1.3e-05,36.946789,3.272873
7,1.2915797932699014,56.05258683628872,1.4494695824191342,50.32921277225596,1.7e-05,1.6e-05,1.754417,1.473886
8,1.2809033153040097,57.43051596707572,1.5114000508526835,47.372199079403835,1.5e-05,1.4e-05,5.369086,3.48681
9,1.1858624027127003,58.78204166541651,1.5881076724667538,44.91301933484122,1.7e-05,1.9e-05,1.48746,1.588769
10,1.1514289511962517,59.74741716423135,1.5366446741448443,47.10635226830793,1.9e-05,1.6e-05,1.436907,1.488213
11,1.0960691821253616,61.20915719043476,1.6167810245511667,45.77944001903881,2e-05,1.5e-05,1.031146,1.237616
12,1.0811101404140542,61.641213357736504,1.5277886654447534,48.88795156712245,2e-05,1.5e-05,1.042933,1.450438
13,1.0705000334411607,61.970606178803244,1.5993134665389186,46.905129063402725,1.9e-05,1.8e-05,1.052466,1.142507
14,1.043041408848984,62.700301039135084,1.6133264828482419,45.3489384508522,2e-05,1.7e-05,0.853183,1.044353
15,1.036295908023688,62.86632262194085,1.625971956545306,45.4129816054903,2e-05,1.7e-05,0.859654,0.957275
