epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,9.172091069177284,31.850666325235,2.3792012916562433,34.20843245431999,0.52308,0.51984,661.048244,2.024136
2,51.139006351686646,40.469628586366206,3.023493659759018,21.90535000253075,32.374778,0.626387,1698.807773,9.962487
3,4.030868564392761,32.918227116076096,2.6139216347670406,34.97757756744445,0.824071,0.549257,117.275691,11.787961
4,2.544718164653971,47.03706667520246,2.296495717375386,45.96791010780989,0.54734,0.544917,43.444304,4.222895
5,1.843310011396177,54.994558432828654,3.85277079563389,13.529381991192995,0.529979,0.714134,9.576538,32.284032
6,1.650319455543846,57.8116897666528,1.9538239462503437,50.413321860606366,0.525846,0.522485,2.491323,2.242432
7,1.4618162170770692,63.22983685968225,1.9287303144721697,51.25899681125677,0.518084,0.523533,2.562469,1.408469
8,1.3796063041142117,65.61495043905978,1.8760300066297688,55.15979146631573,0.514352,0.519289,1.420105,3.548376
9,1.3369138158812748,67.08038581778219,1.9543460797073688,53.32246798603026,0.512061,0.516759,1.502767,1.607178
10,1.3306696884430356,67.82966827779734,1.9008284652385778,55.900187275396064,0.513147,0.530177,2.648564,1.625433
11,1.2927893024621246,68.69461071455247,1.9104168716265966,55.4752239712507,0.513878,0.517076,1.238653,1.166848
12,1.251083693297212,69.86582802513792,2.023937729450652,52.599078807511255,0.509255,0.51509,0.797442,1.242063
13,1.2404229700311589,70.26060838854924,1.9515419717488358,56.02166320797692,0.508796,0.514268,0.831014,0.959021
14,1.2332519049159762,70.53887519605647,2.0889210890782364,53.05623323379055,0.508526,0.514319,0.862218,1.003402
15,1.2127998286729438,71.18556811028243,2.012327883860816,54.269980260160956,0.507672,0.513511,0.620296,0.939479
