epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,2.8104094127948165,38.65027794671532,1.5085470700395514,52.46484790200942,0.306739,0.273755,73.882414,2.795665
2,1.1897926077230607,63.62643107881737,1.5031569375283216,55.540820974844365,0.263114,0.264481,1.41409,1.200692
3,1.1206361377867435,66.36087193111617,1.5493699911103265,53.15118692109125,0.259293,0.263113,2.35293,1.227532
4,1.0137761680590145,69.4673132528835,1.6981110633270953,49.772536316242345,0.258533,0.26203,0.720391,0.946358
5,0.9634427388359027,71.25209393638701,1.5546579632631419,55.99412866325859,0.257414,0.260808,0.498231,0.789001
6,0.8951767538254051,73.74401160867663,1.7092495468443945,54.587437363972256,0.255719,0.25858,0.373446,0.792363
7,0.8701316676791518,74.72045282374657,1.6867025112988718,55.04337703092575,0.255458,0.258631,0.363758,0.797231
8,0.8507346571766903,75.47202927776533,1.715326124600519,55.033051576656376,0.255297,0.258412,0.358655,0.763585
9,0.8144705845513102,76.85344045751843,1.7133315562622662,55.90950043022727,0.254738,0.257718,0.322314,0.776169
10,0.802842599056661,77.32973763110442,1.8382613088380242,55.1927924280002,0.254685,0.257729,0.319584,0.805831
11,0.7938336307313619,77.67314319857452,1.7308384992951185,56.684719339980774,0.255067,0.258117,0.317229,0.739122
12,0.7729944600490711,78.53867247100497,1.799667312457276,56.3640228779673,0.2548,0.257872,0.299659,0.788778
13,0.7670124015485492,78.78316955283121,1.8523197644653606,55.081641949688716,0.25477,0.257852,0.297757,0.786635
14,0.7618060682575519,78.96727590879506,1.8480938505905569,55.081034570025814,0.254747,0.257811,0.296116,0.774749
15,0.7498081091749617,79.46528600236869,1.8347385287619122,55.53778407652984,0.254615,0.257723,0.28712,0.776269
