epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,9.18704898370053,30.421354776120896,2.961063011907309,24.245654836419078,1.9e-05,0.000129,623.591344,49.767756
2,4.715875104251319,40.50336543750688,2.459203271054909,36.91168816594723,1e-05,7e-06,258.959109,2.532907
3,1.8581417488649077,46.01968255873263,1.7783815106733776,43.74108765011928,1e-05,8e-06,2.74088,2.309967
4,2.3733145562435976,46.57335453608969,1.7275119066246938,46.82580068454587,1e-05,6e-06,59.472656,3.192851
5,1.932159122967232,51.164501385180074,1.6165102733571186,49.24550972353093,7e-06,4e-06,41.780273,1.754344
6,1.3805109412601437,54.22199885985178,1.5493571133681077,48.23107389341749,7e-06,8e-06,2.08696,2.614687
7,1.381258231299685,55.71029233800394,1.4977250218109823,48.38895671572772,1e-05,9e-06,8.071831,2.342336
8,1.2412075679802268,57.52927880624481,1.52843824904888,49.00926594161818,1.1e-05,9e-06,2.011487,2.915336
9,1.1966296611980636,58.738936061688015,1.5736657340396611,46.71764321190931,1.3e-05,1.4e-05,2.074241,2.058886
10,1.1657103051303468,59.56694370268135,1.5856010089110868,47.765164780521594,1.6e-05,1.4e-05,1.999386,1.661353
11,1.1119339124506413,60.91701921249763,1.5977771563484406,46.85288842366772,1.6e-05,1.5e-05,1.303678,1.523714
12,1.0978540889982218,61.288017442267495,1.5499360244142348,49.450215637751796,1.5e-05,1.3e-05,1.321021,1.881136
13,1.0874651885701982,61.64726414433876,1.6133835071101414,47.843912707825844,1.5e-05,1.5e-05,1.307117,1.36737
14,1.0600402925434333,62.34725514316861,1.6177035216093703,46.67681811937567,1.6e-05,1.5e-05,0.989234,1.113597
15,1.0532109897076385,62.5493314130837,1.6262018585368974,46.60000503058012,1.6e-05,1.5e-05,1.001037,1.255785
