epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,1.5601235957871353,59.804210279227085,1.8904113083051792,50.98608088272512,0.517046,0.518029,24943936.043977,17276548.808457
2,1.3146100917594663,67.298048504636,1.908677015263777,52.434883838639465,0.510364,0.515988,9175205.629836,6450568.650555
3,1.2484986525957733,69.6977796271993,1.8893332364973452,53.71017867085084,0.509348,0.51559,4199397.788165,3369267.017208
4,1.2110918145775877,71.07518965462053,1.9373055733213806,54.00172090904489,0.508751,0.514699,2939712.885483,2617943.466217
5,1.1848703142452495,72.08849481984144,1.9462788447710089,54.299539403755624,0.50839,0.51521,2324375.335863,2411590.383874
6,1.1669203205544558,72.75722074624159,1.815929496110786,54.99316697879233,0.508323,0.515019,1925345.045398,2010703.463887
7,1.1525877945045846,73.3549929046232,1.8532133138228652,55.34888900136661,0.508271,0.514688,1647525.707902,1722803.50369
8,1.1387118097777358,73.85684410443541,2.0675283339521133,53.37004605962443,0.508322,0.514701,1463647.103333,1374234.371225
9,1.1286805399459643,74.22585704682949,2.023553592142996,55.04013767272359,0.508194,0.514202,1333123.86324,1318957.329094
10,1.094212406594832,75.5439433223435,1.9761024941904266,54.65323682745357,0.506952,0.51318,1364728.402779,1477673.744182
11,1.0865376946796965,75.81650181919059,2.019482843221703,55.21425317608949,0.506758,0.512852,1386512.333972,1563241.458838
12,1.0811195962831461,76.04984902318535,2.101775417539787,54.73644784127145,0.50681,0.512661,1359837.97149,1404489.443038
13,1.0617185212486133,76.8016922206929,2.1720738853949455,53.028293769296965,0.506134,0.512088,1427464.426672,1536853.011649
14,1.0571849732833327,76.95453623977039,2.1431790300556455,53.74014273422078,0.506023,0.511998,1437802.416701,1617589.977552
15,1.0545970409079255,77.08758789197955,2.198574500412402,53.993622513539506,0.505957,0.511948,1445079.207912,1655030.612642
