epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp
1,1.8336881800088551,49.773020492664045,1.4617934528926249,52.19710586855868,5.5e-05,3e-05
2,1.2042194506045845,58.05149669457029,1.42486884644715,47.57168092965121,2.9e-05,2.5e-05
3,1.1221553371115873,60.290787802414314,1.3601668067501178,53.448752899839214,3.2e-05,1.4e-05
4,1.0773118195410045,61.668616920199625,1.350166198886849,50.37332709025441,1.2e-05,6e-06
5,1.045970223481891,62.63009191194855,1.4071568468541182,52.630122726806604,9e-06,1.6e-05
6,1.023394163557623,63.272825467310746,1.4829606424866137,47.93330224692796,1.2e-05,8e-06
7,1.0049414614938312,63.84935041555402,1.4205980355338677,50.744816083925556,2.3e-05,4.7e-05
8,0.9640170402239857,65.0246031984158,1.511941713721407,49.470724925944054,3e-06,2e-06
9,0.9544956408826089,65.32309200196026,1.5783529700024517,47.920145345068775,2e-06,1e-06
10,0.947295611093808,65.55947273145509,1.5438119504521208,49.10639483475512,3e-06,1e-06
11,0.9241306729965628,66.21145748947363,1.642260206065602,47.72937026811057,0.0,0.0
12,0.9184780535459773,66.38818046346024,1.5359027586474785,49.732121608469946,0.0,0.0
13,0.9151660711344879,66.55065158470602,1.556365427678374,49.38655945081544,0.0,0.0
14,0.9018579408691993,66.88684528988769,1.6209635834085199,48.393019876596,0.0,0.0
15,0.8987430787648513,66.9961595007351,1.6102644707242642,47.92478895748966,0.0,0.0
