epoch,train_loss,train_acc,val_loss,val_acc
1,1.383534626591073,49.91782603297415,2.1401114150791694,32.20691074915315
2,1.0981221284211289,63.04425958478458,2.6775953031922004,21.885078695703708
3,1.02669663272261,66.01069078409975,2.6994560125380533,25.516996150990952
4,0.9807430874904149,67.85151833966111,3.458628089543022,21.26749053343398
5,0.9211812804804068,70.024635853335,3.590797943146504,24.672335169462446
6,0.9006686466759086,70.70408223277941,3.297101226907683,27.75279006369268
7,0.8815891845323709,71.33125093936444,4.1541909454324,22.971160504301285
8,0.8442975787031342,72.56467728339074,5.250331939494907,21.659877355724543
9,0.8300242782673608,73.02259702409347,4.8482053748556675,22.250640981653262
10,0.8168578344951315,73.4091250677976,4.396388224026316,24.158302193997542
11,0.7922352875448844,74.14133922328448,5.122450921531938,22.76841691567738
12,0.7826012830585184,74.41481679943017,5.310473034086946,23.271221015464658
13,0.7750550470289292,74.67489822190565,5.201161445989422,23.59186779870369
14,0.7590305993517388,75.18574910637852,5.531609864567891,23.714137778304565
15,0.7537938453217307,75.25550712610028,5.459383825975558,23.232543777019483
