epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp
1,1.3834810350694842,49.91227153023283,2.1286701084256086,32.19942483203474,0.000235,7e-05
2,1.0981800023410528,63.055531957994894,2.579805026426896,24.454619746601704,4.7e-05,4.6e-05
3,1.0262024671707697,66.02637408595756,2.571139687124262,28.052850574856052,3.9e-05,0.000107
4,0.9806262505809401,67.86442439014827,3.399601597065225,22.155195538393397,3.7e-05,2.4e-05
5,0.9212399768436653,70.00486835828504,3.5895612862555426,25.143947947922968,1.3e-05,9e-06
6,0.900476723635755,70.70130498140875,3.4199805185665895,25.848247983481077,1.5e-05,1.6e-05
7,0.8815919415119537,71.29057237517073,3.990862460350022,22.78026961778155,1.6e-05,2.2e-05
8,0.8449742729302129,72.53478098922427,5.222343190341117,21.697930767743184,1.6e-05,1.8e-05
9,0.8306520173436058,72.97522038306464,4.6838581567127004,22.65425667962146,1.1e-05,9e-06
10,0.8178669647722111,73.3604414849473,4.217910556362828,24.86135457670258,1e-05,8e-06
11,0.7935925130827632,74.04625920577146,4.924945485796321,22.88382480458637,7e-06,9e-06
12,0.7836028548641634,74.35371726927575,5.040690009885449,23.36604263229799,7e-06,7e-06
13,0.7758705486430467,74.5767142175666,5.040911247291556,23.75406266960281,7e-06,9e-06
14,0.759801180670764,75.07318874200315,5.219951620748042,23.77152980954579,7e-06,7e-06
15,0.7546972631781048,75.19032340275372,5.294973968635559,23.327365393852816,6e-06,7e-06
