epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,1.3449675300213064,58.69642457027624,1.596830010521042,52.1986131497697,0.265644,0.263522,74106377.177282,84081962.111203
2,1.0970151769228744,66.1895692626143,1.6988862517133816,51.8864200030369,0.25855,0.261658,45433955.14704,33027368.994568
3,1.0312664851516238,68.54315376161668,1.7386167769710346,51.840664068431444,0.257847,0.264306,17525929.209208,12022768.887844
4,0.994697068429714,69.90183839612475,1.8896911554912894,52.782102545933085,0.257593,0.260564,8944001.002925,6225616.577124
5,0.9389549256037586,71.92124665236922,1.7855825182116876,53.14248114592296,0.256044,0.259014,6845617.752148,6400082.369811
6,0.9218873338889215,72.57428806162841,1.8533072101601031,53.77314369590525,0.255893,0.258925,5547771.180823,5156717.245397
7,0.9088851651885097,73.05415959796422,1.9106216220753862,52.41747228830288,0.255686,0.258603,4492480.380471,3803300.5167
8,0.8795489783064359,74.15308942308718,1.9336088433637124,52.15832363213039,0.254906,0.257795,4311327.443024,4618455.032715
9,0.8716661303209963,74.41924607620328,2.0380831277272105,50.74697575542846,0.254738,0.257761,4229392.461788,4307363.246346
10,0.8651557204283855,74.70402142483702,1.9973844338416715,51.16404312395607,0.254669,0.257584,4124002.633338,4327824.932396
11,0.8495169952384753,75.30472776159533,1.9193224511494331,53.0582578326669,0.2543,0.257285,4269552.792002,4612424.209648
12,0.8451682886056427,75.46082605123608,2.017576797673316,52.20185250797186,0.254198,0.257179,4455124.401368,4565281.111649
13,0.8408812066669045,75.63783703039809,1.9907382781900074,52.449460950549174,0.254141,0.257133,4445051.500313,4612709.871284
14,0.832484076799311,75.94800635916478,2.02106067403304,51.582527711697125,0.253955,0.256941,4626165.314036,5057236.101506
15,0.830120015030383,76.04446080471176,2.025016263104851,52.39823859897758,0.253922,0.256976,4766851.991513,5171480.516975
