epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,1.0284329408537138,59.996372288552436,1.3353283948517463,55.14723895328238,0.0,0.0,1116234.704836,1011684.316954
2,0.7708882940429482,68.37750605507719,1.6298146514718324,48.57053196335476,0.0,0.0,1209790.031465,993603.744443
3,0.7043381487258096,70.9860973293642,1.4337998622054,55.574631776079364,0.0,0.0,964001.957682,758203.086629
4,0.6652555007521599,72.45372000469469,1.6161152870692348,50.83059168902161,0.0,0.0,836553.131714,610212.693452
5,0.6169175137432231,74.29184938595648,1.5762813505917876,53.76828465860201,0.0,0.0,728882.320815,535721.673298
6,0.59985632534317,75.01520437886111,1.6854583147492022,52.138887482917454,0.0,0.0,697382.021932,558491.444741
7,0.5870151876264245,75.48990109151435,1.6514470399598418,53.31679910917649,0.0,0.0,706428.868414,673378.907084
8,0.5616050018927464,76.46207441076363,1.706697039952698,53.33987953636685,0.0,0.0,709179.353845,605685.182813
9,0.5528816090217454,76.83407488023218,1.8001782324546176,50.945183985422894,0.0,0.0,743129.543803,626701.785717
10,0.5461209395437564,77.11885022886591,1.821292544143031,51.79430075416308,0.0,0.0,760823.947168,715672.243392
11,0.531889626565954,77.69101501232355,1.7996013480072206,52.60879688211772,0.0,0.0,777303.102487,724163.887764
12,0.527529268375594,77.79568515732531,1.8965751549002552,50.83079414890924,0.0,0.0,802282.043228,717142.902206
13,0.5236331519472532,77.98651344920671,1.9438300134688307,50.27321961836311,0.0,0.0,800786.115509,665164.926844
14,0.5158628064247789,78.32399731122564,1.9355087857845674,51.01219820823,0.0,0.0,823298.942111,758500.712424
15,0.5133348144323192,78.42818731794758,1.9525714214044694,50.959356177557325,0.0,0.0,845391.254916,754811.751412
