epoch,train_loss,train_acc,val_loss,val_acc
1,0.548521101047871,72.56320697384156,0.7606977326837348,64.65274701966925
2,0.40849622785751005,80.4043677995674,0.6364414590005065,73.5697219605617
3,0.3779702871536018,82.18768991498344,0.72520191482366,69.54666533583695
4,0.3609604785401206,83.14371785739958,0.7016153127442849,73.78556590414284
5,0.3491228292384244,83.80486705134321,0.7392669556624348,72.61401987510995
6,0.3290251509497444,84.88766835044338,0.7371477276890912,74.50359012108471
7,0.3221069360558122,85.25785962137896,0.8879062706141057,72.41813837717793
8,0.3163358080368731,85.60615961680466,0.6800644910157583,76.51605417308687
9,0.3046374007415757,86.24362049023388,0.7764905327596168,74.80177915296848
10,0.3010284801668266,86.45240444621608,0.835304010716718,73.81239044048384
11,0.29849891062917183,86.56578164922989,0.8134701470442436,74.51169986462966
12,0.2908176195428377,86.95345326702781,0.8662844154860044,74.73565355175576
13,0.28885440877627344,87.06993445686764,0.8355909761151046,74.89660076980181
14,0.28678230495309515,87.17971756987237,0.8765556482665022,74.37009126580621
15,0.2824215030512458,87.40581850498926,0.8994740541882172,74.10122207596959
