epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_phys,val_loss_phys,tr_loss_energy,val_loss_energy
1,1.2977736062071366,60.09922857783041,1.4360782475277691,55.483322366756084,0.269592,0.263384,4.950382,7.407429
2,1.0290865821353417,68.55051588190733,1.7417171300077219,50.13372475578276,0.259257,0.261577,7.04221,8.099159
3,0.9621664418279059,70.98721765201711,1.7011115758911513,54.65242698790303,0.257864,0.261226,7.505711,8.455742
4,0.9233267066058305,72.4576678083288,1.9455932984366835,49.654299741863646,0.257321,0.260095,7.626244,9.007275
5,0.8736471327172859,74.24986396082072,1.8198895157105757,53.93207470769854,0.256028,0.258916,7.843843,8.84315
6,0.8577514228416275,74.91949681508274,1.913622980989075,53.584856000404926,0.255882,0.258814,7.920559,8.598726
7,0.8449011535908483,75.41217203888053,1.9468796128001105,53.812218454218765,0.255811,0.258778,7.939706,8.869395
8,0.8194125684551623,76.36642019568302,1.995860751526567,53.22953889760591,0.255348,0.258344,7.964545,8.709367
9,0.8115055017048879,76.70443754467954,2.051539533654887,50.96968163182669,0.255242,0.258374,8.031117,9.015608
10,0.8048229910582188,76.95522977284125,2.051617152637911,52.456547046616386,0.255138,0.258119,8.127919,8.967895
11,0.7909943320316367,77.5047213597516,2.048867230336905,52.82380928278585,0.255299,0.258305,8.181825,8.770235
12,0.7869790009833959,77.65004321244518,2.0631140435356814,52.07855443640229,0.255266,0.258296,8.203087,8.765249
13,0.7828029131040456,77.84476595926293,2.1338737439030413,51.122943766766205,0.25524,0.258327,8.219865,8.952512
14,0.7748067547516083,78.14223829796315,2.132443686375862,51.20392772182012,0.255126,0.258157,8.230959,9.052492
15,0.7728180391782403,78.22268813418265,2.109104451873485,52.240117426734834,0.255107,0.258168,8.239871,9.078051
